stationId,stationCode,name,sysId,lines
145,L4_Manoteras,Manoteras,8e57639d-cb11-409a-8a02-d521691b41b5,[4]
146,L5_Aluche,Aluche,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
147,L5_EugeniaMontijo,Eugenia de Montijo,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
148,L5_Carabanchel,Carabanchel,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
149,L5_VistaAlegre,Vista Alegre,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
150,L5_Urgel,Urgel,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
151,L5_MarquesVadillo,Marqués de Vadillo,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
152,L5_Piramides,Pirámides,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
153,L5_PuertaToledo,Puerta de Toledo,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
154,L5_LaLatina,La Latina,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
155,L5_Chueca,Chueca,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
156,L5_RubenDario,Rubén Darío,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
157,L5_ElCarmen,El Carmen,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
158,L5_Quintana,Quintana,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
159,L5_CiudadLineal,Ciudad Lineal,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
160,L5_Suanzes,Suanzes,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
161,L5_TorreArias,Torre Arias,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
162,L5_Canillejas,Canillejas,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
163,L5_ElCapricho,El Capricho,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
164,L5_AlamedaOsuna,Alameda de Osuna,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
165,L5_Empalme,Empalme,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
166,L5_Campamento,Campamento,8e57639d-cb11-409a-8a02-d521691b41b5,[5]
167,L6_RepublicaArgentina,República Argentina,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
168,L6_Odonnell,O'Donnell,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
169,L6_CondeCasal,Conde de Casal,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
170,L6_MendezAlvaro,Méndez Alvaro,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
171,L6_ArganzuelaPlanetario,Arganzuela Planetario,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
172,L6_Usera,Usera,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
173,L6_Opanel,Opañel,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
174,L6_Carpetana,Carpetana,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
175,L6_Laguna,Laguna,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
176,L6_Lucero,Lucero,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
177,L6_AltoExtremadura,Alto de Extremadura,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
178,L6_PuertaAngel,Puerta del Ángel,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
179,L6_CiudadUniversitaria,Ciudad Universitaria,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
180,L6_VicenteAleixandre,Vicente Aleixandre,8e57639d-cb11-409a-8a02-d521691b41b5,[6]
